A,Awesome,Angry,Ass,
B,Basic,Ballsy,Banana,
C,Cock,Cum,Cute,Clit
D,Dad,Dunce,Dumb,Dude
E,Egg,Epic,Elbow,
F,Fuck,Friend,Fickle,
G,Gay,Guys,Grand,
H,Happy,Hip,Horny,
I,Indigo,In,,
J,Jelly,Juice,,
K,Kiss,King,Kappa,
L,Lip,Little,Lintaro,
M,Meaty,Manly,,
N,Nut,Nutty,Nate,
O,Orange,Oval,,
P,Penis,Penetrate,Purple,Pussy
Q,Queef,Queen,,
R,Rip,Red,Rotisserie,
S,Shit,Sip,Sin,
T,Titty,Teeth,Tiny,Teal
U,Udder,Uganda,,
V,Vagina,Vent,Vehicle,
W,Wet,West,Wisconsin,
X,Xylophone,Xerox,X-Ray,
Y,Yeet,Yummy,Yellow,
Z,Zebra,Zoo,Zest,Zap
